Date,T,Box,Stipe,Apo,Total,P,Idate,
19/03/2018,20,A,0,0,13,0,19/03/2018,
19/03/2018,20,B,0,0,15,0,19/03/2018,
19/03/2018,20,C,0,0,15,0,19/03/2018,
19/03/2018,20,D,0,0,15,0,19/03/2018,
19/03/2018,20,E,0,0,15,0,19/03/2018,
19/03/2018,20,F,0,0,14,0,19/03/2018,
19/03/2018,20,G,0,0,15,0,19/03/2018,
19/03/2018,15,A,0,0,15,0,19/03/2018,
19/03/2018,15,B,0,0,15,0,19/03/2018,
19/03/2018,15,C,0,0,15,0,19/03/2018,
19/03/2018,15,D,0,0,15,0,19/03/2018,
19/03/2018,15,E,0,0,16,0,19/03/2018,
19/03/2018,15,F,0,0,15,0,19/03/2018,
19/03/2018,15,G,0,0,15,0,19/03/2018,
19/04/2018,20,A,0,0,13,0,19/03/2018,
19/04/2018,20,B,0,0,15,0,19/03/2018,
19/04/2018,20,C,0,0,15,0,19/03/2018,
19/04/2018,20,D,0,0,15,0,19/03/2018,
19/04/2018,20,E,0,0,15,0,19/03/2018,
19/04/2018,20,F,0,0,14,0,19/03/2018,
19/04/2018,20,G,0,0,15,0,19/03/2018,
19/04/2018,15,A,0,0,15,0,19/03/2018,
19/04/2018,15,B,0,0,15,0,19/03/2018,
19/04/2018,15,C,0,0,15,0,19/03/2018,
19/04/2018,15,D,0,0,15,0,19/03/2018,
19/04/2018,15,E,0,0,16,0,19/03/2018,
19/04/2018,15,F,0,0,15,0,19/03/2018,
19/04/2018,15,G,0,0,15,0,19/03/2018,
26/04/2018,20,A,0,0,13,0,19/03/2018,
26/04/2018,20,B,0,0,15,0,19/03/2018,
26/04/2018,20,C,0,0,15,0,19/03/2018,
26/04/2018,20,D,0,0,15,0,19/03/2018,
26/04/2018,20,E,0,0,15,0,19/03/2018,
26/04/2018,20,F,0,0,14,0,19/03/2018,
26/04/2018,20,G,0,0,15,0,19/03/2018,
26/04/2018,15,A,0,0,15,0,19/03/2018,
26/04/2018,15,B,0,0,15,0,19/03/2018,
26/04/2018,15,C,0,0,15,0,19/03/2018,
26/04/2018,15,D,0,0,15,0,19/03/2018,
26/04/2018,15,E,0,0,16,0,19/03/2018,
26/04/2018,15,F,0,0,15,0,19/03/2018,
26/04/2018,15,G,0,0,15,0,19/03/2018,
04/05/2018,20,A,12,0,13,92.30769231,19/03/2018,
04/05/2018,20,B,12,0,15,80,19/03/2018,
04/05/2018,20,C,8,0,15,53.33333333,19/03/2018,
04/05/2018,20,D,10,0,15,66.66666667,19/03/2018,
04/05/2018,20,E,9,0,15,60,19/03/2018,
04/05/2018,20,F,7,0,14,50,19/03/2018,
04/05/2018,20,G,14,0,15,93.33333333,19/03/2018,
04/05/2018,15,A,1,0,15,6.666666667,19/03/2018,
04/05/2018,15,B,3,0,15,20,19/03/2018,
04/05/2018,15,C,0,0,15,0,19/03/2018,
04/05/2018,15,D,0,0,15,0,19/03/2018,
04/05/2018,15,E,0,0,16,0,19/03/2018,
04/05/2018,15,F,0,0,15,0,19/03/2018,
04/05/2018,15,G,1,0,15,6.666666667,19/03/2018,
11/05/2018,20,A,11,0,13,84.61538462,19/03/2018,
11/05/2018,20,B,13,0,15,86.66666667,19/03/2018,
11/05/2018,20,C,15,0,15,100,19/03/2018,
11/05/2018,20,D,14,1,15,93.33333333,19/03/2018,
11/05/2018,20,E,14,0,15,93.33333333,19/03/2018,
11/05/2018,20,F,12,0,14,85.71428571,19/03/2018,
11/05/2018,20,G,15,0,15,100,19/03/2018,
11/05/2018,15,A,1,0,15,6.666666667,19/03/2018,
11/05/2018,15,B,7,0,15,46.66666667,19/03/2018,
11/05/2018,15,C,3,0,15,20,19/03/2018,
11/05/2018,15,D,1,0,15,6.666666667,19/03/2018,
11/05/2018,15,E,0,0,16,0,19/03/2018,
11/05/2018,15,F,1,0,15,6.666666667,19/03/2018,
11/05/2018,15,G,6,0,15,40,19/03/2018,
18/05/2018,20,A,12,0,13,92.30769231,19/03/2018,
18/05/2018,20,B,13,0,15,86.66666667,19/03/2018,
18/05/2018,20,C,15,1,15,100,19/03/2018,
18/05/2018,20,D,15,1,15,100,19/03/2018,
18/05/2018,20,E,15,0,15,100,19/03/2018,
18/05/2018,20,F,13,0,14,92.85714286,19/03/2018,
18/05/2018,20,G,15,0,15,100,19/03/2018,
18/05/2018,15,A,5,0,15,33.33333333,19/03/2018,
18/05/2018,15,B,8,0,15,53.33333333,19/03/2018,
18/05/2018,15,C,3,0,15,20,19/03/2018,
18/05/2018,15,D,9,0,15,60,19/03/2018,
18/05/2018,15,E,4,0,16,25,19/03/2018,
18/05/2018,15,F,3,0,15,20,19/03/2018,
18/05/2018,15,G,7,0,15,46.66666667,19/03/2018,95.97592883
25/05/2018,20,A,12,0,13,92.30769231,19/03/2018,2.039010861
25/05/2018,20,B,13,0,15,86.66666667,19/03/2018,
25/05/2018,20,C,15,1,15,100,19/03/2018,
25/05/2018,20,D,15,1,15,100,19/03/2018,
25/05/2018,20,E,15,0,15,100,19/03/2018,
25/05/2018,20,F,13,0,14,92.85714286,19/03/2018,
25/05/2018,20,G,15,0,15,100,19/03/2018,
25/05/2018,15,A,10,0,15,66.66666667,19/03/2018,
25/05/2018,15,B,12,0,15,80,19/03/2018,
25/05/2018,15,C,3,0,15,20,19/03/2018,
25/05/2018,15,D,9,0,15,60,19/03/2018,
25/05/2018,15,E,6,0,16,37.5,19/03/2018,
25/05/2018,15,F,3,0,15,20,19/03/2018,
25/05/2018,15,G,8,0,15,53.33333333,19/03/2018,
01/06/2018,20,A,12,0,13,92.30769231,19/03/2018,
01/06/2018,20,B,13,0,15,86.66666667,19/03/2018,
01/06/2018,20,C,15,1,15,100,19/03/2018,
01/06/2018,20,D,15,1,15,100,19/03/2018,
01/06/2018,20,E,15,0,15,100,19/03/2018,
01/06/2018,20,F,13,0,14,92.85714286,19/03/2018,
01/06/2018,20,G,15,0,15,100,19/03/2018,
01/06/2018,15,A,13,0,15,86.66666667,19/03/2018,
01/06/2018,15,B,12,0,15,80,19/03/2018,
01/06/2018,15,C,13,0,15,86.66666667,19/03/2018,
01/06/2018,15,D,8,0,15,53.33333333,19/03/2018,
01/06/2018,15,E,10,0,16,62.5,19/03/2018,
01/06/2018,15,F,4,0,15,26.66666667,19/03/2018,
01/06/2018,15,G,6,0,15,40,19/03/2018,
11/06/2018,20,A,12,4,13,92.30769231,19/03/2018,
11/06/2018,20,B,13,3,15,86.66666667,19/03/2018,
11/06/2018,20,C,15,3,15,100,19/03/2018,
11/06/2018,20,D,15,1,15,100,19/03/2018,
11/06/2018,20,E,15,1,15,100,19/03/2018,
11/06/2018,20,F,13,2,14,92.85714286,19/03/2018,
11/06/2018,20,G,15,0,15,100,19/03/2018,
11/06/2018,15,A,5,0,15,33.33333333,19/03/2018,26.25
11/06/2018,15,B,3,0,15,20,19/03/2018,4.774165763
11/06/2018,15,C,2,0,15,13.33333333,19/03/2018,
11/06/2018,15,D,6,0,15,40,19/03/2018,
11/06/2018,15,E,7,0,16,43.75,19/03/2018,
