Date,T,Box,Apo,Total,P,Idate
20/07/2019,20,A,0,10,0,20/07/2019
20/07/2019,20,B,0,11,0,20/07/2019
20/07/2019,20,C,0,11,0,20/07/2019
20/07/2019,20,D,0,11,0,20/07/2019
20/07/2019,20,E,0,9,0,20/07/2019
20/07/2019,20,G,0,13,0,20/07/2019
20/07/2019,15,B,0,9,0,20/07/2019
20/07/2019,15,C,0,12,0,20/07/2019
20/07/2019,15,E,0,12,0,20/07/2019
20/07/2019,15,F,0,11,0,20/07/2019
20/07/2019,15,G,0,12,0,20/07/2019
20/07/2019,10,A,0,13,0,20/07/2019
20/07/2019,10,B,0,11,0,20/07/2019
20/07/2019,10,C,0,14,0,20/07/2019
20/07/2019,10,D,0,11,0,20/07/2019
20/07/2019,10,E,0,13,0,20/07/2019
20/07/2019,10,F,0,12,0,20/07/2019
20/07/2019,4,A,0,13,0,20/07/2019
20/07/2019,4,B,0,14,0,20/07/2019
20/07/2019,4,C,0,12,0,20/07/2019
20/07/2019,4,D,0,13,0,20/07/2019
20/07/2019,4,E,0,12,0,20/07/2019
20/07/2019,4,G,0,12,0,20/07/2019
11/08/2019,20,A,1,10,10,20/07/2019
11/08/2019,20,B,2,11,18.18181818,20/07/2019
11/08/2019,20,C,8,11,72.72727273,20/07/2019
11/08/2019,20,D,3,11,27.27272727,20/07/2019
11/08/2019,20,E,4,9,44.44444444,20/07/2019
11/08/2019,20,G,4,13,30.76923077,20/07/2019
11/08/2019,15,B,8,9,88.88888889,20/07/2019
11/08/2019,15,C,5,12,41.66666667,20/07/2019
11/08/2019,15,E,1,12,8.333333333,20/07/2019
11/08/2019,15,F,1,11,9.090909091,20/07/2019
11/08/2019,15,G,4,12,33.33333333,20/07/2019
11/08/2019,10,A,2,13,15.38461538,20/07/2019
11/08/2019,10,B,5,11,45.45454545,20/07/2019
11/08/2019,10,C,4,14,28.57142857,20/07/2019
11/08/2019,10,D,0,11,0,20/07/2019
11/08/2019,10,E,4,13,30.76923077,20/07/2019
11/08/2019,10,F,3,12,25,20/07/2019
11/08/2019,4,A,0,13,0,20/07/2019
11/08/2019,4,B,1,14,7.142857143,20/07/2019
11/08/2019,4,C,0,12,0,20/07/2019
11/08/2019,4,D,0,13,0,20/07/2019
11/08/2019,4,E,0,12,0,20/07/2019
11/08/2019,4,G,0,12,0,20/07/2019
18/08/2019,20,A,3,10,30,20/07/2019
18/08/2019,20,B,3,11,27.27272727,20/07/2019
18/08/2019,20,C,11,11,100,20/07/2019
18/08/2019,20,D,4,11,36.36363636,20/07/2019
18/08/2019,20,E,5,9,55.55555556,20/07/2019
18/08/2019,20,G,4,13,30.76923077,20/07/2019
18/08/2019,15,B,8,9,88.88888889,20/07/2019
18/08/2019,15,C,8,12,66.66666667,20/07/2019
18/08/2019,15,E,1,12,8.333333333,20/07/2019
18/08/2019,15,F,5,11,45.45454545,20/07/2019
18/08/2019,15,G,6,12,50,20/07/2019
18/08/2019,10,A,2,13,15.38461538,20/07/2019
18/08/2019,10,B,5,11,45.45454545,20/07/2019
18/08/2019,10,C,5,14,35.71428571,20/07/2019
18/08/2019,10,D,2,11,18.18181818,20/07/2019
18/08/2019,10,E,4,13,30.76923077,20/07/2019
18/08/2019,10,F,4,12,33.33333333,20/07/2019
18/08/2019,4,A,1,13,7.692307692,20/07/2019
18/08/2019,4,B,1,14,7.142857143,20/07/2019
18/08/2019,4,C,3,12,25,20/07/2019
18/08/2019,4,D,0,13,0,20/07/2019
18/08/2019,4,E,0,12,0,20/07/2019
18/08/2019,4,G,0,12,0,20/07/2019
02/09/2018,20,A,6,10,60,20/07/2019
02/09/2018,20,B,7,11,63.63636364,20/07/2019
02/09/2018,20,C,10,11,90.90909091,20/07/2019
02/09/2018,20,D,6,11,54.54545455,20/07/2019
02/09/2018,20,E,5,9,55.55555556,20/07/2019
02/09/2018,20,G,10,13,76.92307692,20/07/2019
02/09/2018,15,B,8,9,88.88888889,20/07/2019
02/09/2018,15,C,9,12,75,20/07/2019
02/09/2018,15,E,5,12,41.66666667,20/07/2019
02/09/2018,15,F,5,11,45.45454545,20/07/2019
02/09/2018,15,G,8,12,66.66666667,20/07/2019
02/09/2018,10,A,6,13,46.15384615,20/07/2019
02/09/2018,10,B,8,11,72.72727273,20/07/2019
02/09/2018,10,C,7,14,50,20/07/2019
02/09/2018,10,D,8,11,72.72727273,20/07/2019
02/09/2018,10,E,11,13,84.61538462,20/07/2019
02/09/2018,10,F,5,12,41.66666667,20/07/2019
02/09/2018,4,A,1,13,7.692307692,20/07/2019
02/09/2018,4,B,1,14,7.142857143,20/07/2019
02/09/2018,4,C,3,12,25,20/07/2019
02/09/2018,4,D,0,13,0,20/07/2019
02/09/2018,4,E,4,12,33.33333333,20/07/2019
02/09/2018,4,G,3,12,25,20/07/2019
08/09/2018,20,A,4,10,40,20/07/2019
08/09/2018,20,B,7,11,63.63636364,20/07/2019
08/09/2018,20,C,11,11,100,20/07/2019
08/09/2018,20,D,7,11,63.63636364,20/07/2019
08/09/2018,20,E,3,9,33.33333333,20/07/2019
08/09/2018,20,G,9,13,69.23076923,20/07/2019
08/09/2018,15,B,4,9,44.44444444,20/07/2019
08/09/2018,15,C,8,12,66.66666667,20/07/2019
08/09/2018,15,E,9,12,75,20/07/2019
08/09/2018,15,F,6,11,54.54545455,20/07/2019
08/09/2018,15,G,9,12,75,20/07/2019
08/09/2018,10,A,7,13,53.84615385,20/07/2019
08/09/2018,10,B,8,11,72.72727273,20/07/2019
08/09/2018,10,C,9,14,64.28571429,20/07/2019
08/09/2018,10,D,11,11,100,20/07/2019
08/09/2018,10,E,13,13,100,20/07/2019
08/09/2018,10,F,7,12,58.33333333,20/07/2019
08/09/2018,4,A,4,13,30.76923077,20/07/2019
08/09/2018,4,B,4,14,28.57142857,20/07/2019
08/09/2018,4,C,4,12,33.33333333,20/07/2019
08/09/2018,4,D,6,13,46.15384615,20/07/2019
08/09/2018,4,E,5,12,41.66666667,20/07/2019
08/09/2018,4,G,3,12,25,20/07/2019
15/09/2018,20,A,4,10,40,20/07/2019
15/09/2018,20,B,7,11,63.63636364,20/07/2019
15/09/2018,20,C,10,11,90.90909091,20/07/2019
15/09/2018,20,D,4,11,36.36363636,20/07/2019
15/09/2018,20,E,3,9,33.33333333,20/07/2019
15/09/2018,20,G,5,13,38.46153846,20/07/2019
15/09/2018,15,B,4,9,44.44444444,20/07/2019
15/09/2018,15,C,5,12,41.66666667,20/07/2019
15/09/2018,15,E,4,12,33.33333333,20/07/2019
15/09/2018,15,F,4,11,36.36363636,20/07/2019
15/09/2018,15,G,9,12,75,20/07/2019
15/09/2018,10,A,7,13,53.84615385,20/07/2019
15/09/2018,10,B,7,11,63.63636364,20/07/2019
15/09/2018,10,C,13,14,92.85714286,20/07/2019
15/09/2018,10,D,11,11,100,20/07/2019
15/09/2018,10,E,13,13,100,20/07/2019
15/09/2018,10,F,9,12,75,20/07/2019
15/09/2018,4,A,12,13,92.30769231,20/07/2019
15/09/2018,4,B,9,14,64.28571429,20/07/2019
15/09/2018,4,C,5,12,41.66666667,20/07/2019
15/09/2018,4,D,11,13,84.61538462,20/07/2019
15/09/2018,4,E,8,12,66.66666667,20/07/2019
15/09/2018,4,G,11,12,91.66666667,20/07/2019
24/09/2018,20,A,3,10,30,20/07/2019
24/09/2018,20,B,6,11,54.54545455,20/07/2019
24/09/2018,20,C,9,11,81.81818182,20/07/2019
24/09/2018,20,D,3,11,27.27272727,20/07/2019
24/09/2018,20,E,1,9,11.11111111,20/07/2019
24/09/2018,20,G,6,13,46.15384615,20/07/2019
24/09/2018,15,B,4,9,44.44444444,20/07/2019
24/09/2018,15,C,4,12,33.33333333,20/07/2019
24/09/2018,15,E,6,12,50,20/07/2019
24/09/2018,15,F,4,11,36.36363636,20/07/2019
24/09/2018,15,G,9,12,75,20/07/2019
24/09/2018,10,A,6,13,46.15384615,20/07/2019
24/09/2018,10,B,8,11,72.72727273,20/07/2019
24/09/2018,10,C,11,14,78.57142857,20/07/2019
24/09/2018,10,D,8,11,72.72727273,20/07/2019
24/09/2018,10,E,13,13,100,20/07/2019
24/09/2018,10,F,8,12,66.66666667,20/07/2019
24/09/2018,4,A,12,13,92.30769231,20/07/2019
24/09/2018,4,B,9,14,64.28571429,20/07/2019
24/09/2018,4,C,11,12,91.66666667,20/07/2019
24/09/2018,4,D,12,13,92.30769231,20/07/2019
24/09/2018,4,E,4,12,33.33333333,20/07/2019
24/09/2018,4,G,12,12,100,20/07/2019
24/09/2018,20,A,3,10,30,20/07/2019
24/09/2018,20,B,6,11,54.54545455,20/07/2019
24/09/2018,20,C,9,11,81.81818182,20/07/2019
24/09/2018,20,D,3,11,27.27272727,20/07/2019
24/09/2018,20,E,1,9,11.11111111,20/07/2019
24/09/2018,20,G,6,13,46.15384615,20/07/2019
24/09/2018,15,B,4,9,44.44444444,20/07/2019
24/09/2018,15,C,4,12,33.33333333,20/07/2019
24/09/2018,15,E,6,12,50,20/07/2019
24/09/2018,15,F,4,11,36.36363636,20/07/2019
24/09/2018,15,G,9,12,75,20/07/2019
24/09/2018,10,A,6,13,46.15384615,20/07/2019
24/09/2018,10,B,8,11,72.72727273,20/07/2019
24/09/2018,10,C,11,14,78.57142857,20/07/2019
24/09/2018,10,D,8,11,72.72727273,20/07/2019
24/09/2018,10,E,13,13,100,20/07/2019
24/09/2018,10,F,8,12,66.66666667,20/07/2019
24/09/2018,4,A,12,13,92.30769231,20/07/2019
24/09/2018,4,B,9,14,64.28571429,20/07/2019
24/09/2018,4,C,11,12,91.66666667,20/07/2019
24/09/2018,4,D,12,13,92.30769231,20/07/2019
24/09/2018,4,E,4,12,33.33333333,20/07/2019
24/09/2018,4,G,12,12,100,20/07/2019
12/10/2018,20,A,0,10,0,20/07/2019
12/10/2018,20,B,3,11,27.27272727,20/07/2019
12/10/2018,20,C,2,11,18.18181818,20/07/2019
12/10/2018,20,D,4,11,36.36363636,20/07/2019
12/10/2018,20,E,0,9,0,20/07/2019
12/10/2018,20,G,2,13,15.38461538,20/07/2019
12/10/2018,15,B,3,9,33.33333333,20/07/2019
12/10/2018,15,C,3,12,25,20/07/2019
12/10/2018,15,E,3,12,25,20/07/2019
12/10/2018,15,F,0,11,0,20/07/2019
12/10/2018,15,G,0,12,0,20/07/2019
12/10/2018,10,A,6,13,46.15384615,20/07/2019
12/10/2018,10,B,4,11,36.36363636,20/07/2019
12/10/2018,10,C,5,14,35.71428571,20/07/2019
12/10/2018,10,D,1,11,9.090909091,20/07/2019
12/10/2018,10,E,2,13,15.38461538,20/07/2019
12/10/2018,10,F,2,12,16.66666667,20/07/2019
12/10/2018,4,A,11,13,84.61538462,20/07/2019
12/10/2018,4,B,10,14,71.42857143,20/07/2019
12/10/2018,4,C,12,12,100,20/07/2019
12/10/2018,4,D,12,13,92.30769231,20/07/2019
12/10/2018,4,E,12,12,100,20/07/2019
12/10/2018,4,G,11,12,91.66666667,20/07/2019
18/10/2018,20,A,0,10,0,20/07/2019
18/10/2018,20,B,2,11,18.18181818,20/07/2019
18/10/2018,20,C,2,11,18.18181818,20/07/2019
18/10/2018,20,D,3,11,27.27272727,20/07/2019
18/10/2018,20,E,1,9,11.11111111,20/07/2019
18/10/2018,20,G,4,13,30.76923077,20/07/2019
18/10/2018,15,B,2,9,22.22222222,20/07/2019
18/10/2018,15,C,3,12,25,20/07/2019
18/10/2018,15,E,3,12,25,20/07/2019
18/10/2018,15,F,2,11,18.18181818,20/07/2019
18/10/2018,15,G,1,12,8.333333333,20/07/2019
18/10/2018,10,A,9,13,69.23076923,20/07/2019
18/10/2018,10,B,2,11,18.18181818,20/07/2019
18/10/2018,10,C,2,14,14.28571429,20/07/2019
18/10/2018,10,D,1,11,9.090909091,20/07/2019
18/10/2018,10,E,1,13,7.692307692,20/07/2019
18/10/2018,10,F,2,12,16.66666667,20/07/2019
18/10/2018,4,A,12,13,92.30769231,20/07/2019
18/10/2018,4,B,10,14,71.42857143,20/07/2019
18/10/2018,4,C,12,12,100,20/07/2019
18/10/2018,4,D,12,13,92.30769231,20/07/2019
18/10/2018,4,E,12,12,100,20/07/2019
18/10/2018,4,G,8,12,66.66666667,20/07/2019
26/10/2018,20,A,0,10,0,20/07/2019
26/10/2018,20,C,0,11,0,20/07/2019
26/10/2018,20,E,0,9,0,20/07/2019
26/10/2018,20,G,3,13,23.07692308,20/07/2019
26/10/2018,15,B,2,9,22.22222222,20/07/2019
26/10/2018,15,C,2,12,16.66666667,20/07/2019
26/10/2018,15,E,3,12,25,20/07/2019
26/10/2018,15,F,2,11,18.18181818,20/07/2019
26/10/2018,15,G,1,12,8.333333333,20/07/2019
26/10/2018,10,A,6,13,46.15384615,20/07/2019
26/10/2018,10,B,6,11,54.54545455,20/07/2019
26/10/2018,10,C,0,14,0,20/07/2019
26/10/2018,10,D,1,11,9.090909091,20/07/2019
26/10/2018,10,E,1,13,7.692307692,20/07/2019
26/10/2018,10,F,2,12,16.66666667,20/07/2019
26/10/2018,4,A,11,13,84.61538462,20/07/2019
26/10/2018,4,B,8,14,57.14285714,20/07/2019
26/10/2018,4,C,11,12,91.66666667,20/07/2019
26/10/2018,4,E,12,12,100,20/07/2019
26/10/2018,4,G,7,12,58.33333333,20/07/2019
05/11/2018,20,A,0,10,0,20/07/2019
05/11/2018,20,B,1,11,9.090909091,20/07/2019
05/11/2018,20,C,0,11,0,20/07/2019
05/11/2018,20,D,2,11,18.18181818,20/07/2019
05/11/2018,20,E,1,9,11.11111111,20/07/2019
05/11/2018,20,G,3,13,23.07692308,20/07/2019
05/11/2018,15,B,2,9,22.22222222,20/07/2019
05/11/2018,15,C,4,12,33.33333333,20/07/2019
05/11/2018,15,E,3,12,25,20/07/2019
05/11/2018,15,F,2,11,18.18181818,20/07/2019
05/11/2018,15,G,2,12,16.66666667,20/07/2019
05/11/2018,10,A,4,13,30.76923077,20/07/2019
05/11/2018,10,B,3,11,27.27272727,20/07/2019
05/11/2018,10,C,1,14,7.142857143,20/07/2019
05/11/2018,10,D,3,11,27.27272727,20/07/2019
05/11/2018,10,E,1,13,7.692307692,20/07/2019
05/11/2018,10,F,2,12,16.66666667,20/07/2019
05/11/2018,4,A,10,13,76.92307692,20/07/2019
05/11/2018,4,B,8,14,57.14285714,20/07/2019
05/11/2018,4,C,11,12,91.66666667,20/07/2019
05/11/2018,4,E,10,12,83.33333333,20/07/2019
05/11/2018,4,G,10,12,83.33333333,20/07/2019
15/11/2018,20,A,0,10,0,20/07/2019
15/11/2018,20,B,1,11,9.090909091,20/07/2019
15/11/2018,20,C,0,11,0,20/07/2019
15/11/2018,20,D,2,11,18.18181818,20/07/2019
15/11/2018,20,E,1,9,11.11111111,20/07/2019
