"","Site","Quadrat","date","meanT7","meanT14","meanT21","meanT28","meanT35","meanT42","meanRH7","meanRH14","meanRH21","meanRH28","meanRH35","meanRH42","VisSky","Grid","Rachis","Diameter","Vegetation","Year","daynumber","r","area","sumareaqmm","sumareaqum"
"1","Carmarthenshire","A","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.019,17,4,411.815,"Moss",18,177,205.9075,133196.9266,0.335824033853691,335824.033853691
"2","Carmarthenshire","A","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.019,17,6,289.41,"Moss",18,177,144.705,65783.49569,0.335824033853691,335824.033853691
"3","Carmarthenshire","A","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.019,17,6,244.76,"Moss",18,177,122.38,47051.20717,0.335824033853691,335824.033853691
"4","Carmarthenshire","A","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.019,17,4,268.505,"Moss",18,177,134.2525,56623.22956,0.335824033853691,335824.033853691
"5","Carmarthenshire","A","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.019,17,5,205.505,"Moss",18,177,102.7525,33169.1748,0.335824033853691,335824.033853691
"6","Carmarthenshire","A","10/07/2018",18.70155093,18.87330522,17.47426036,16.56724868,16.37515608,16.29720238,75.78265212,71.62013889,74.61616071,79.45508681,81.31438823,82.94123457,0.019,18,2,570.95,"Moss",18,191,285.475,256027.1583,0.256027158320633,256027.158320633
"7","Carmarthenshire","A","24/07/2018",16.7358664,16.82853836,17.45287588,17.85092179,17.21597156,16.65434524,86.50435516,83.95273479,81.2293739,77.78643684,78.35079034,80.9543028,0.019,19,3,255.005,"Moss",18,205,127.5025,51072.51836,0.0510725183598707,51072.5183598707
"8","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,4,492.6627045,"Moss",18,212,246.3313523,190629.1251,1.67833482360138,1678334.82360138
"9","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,3,272.435,"Moss",18,212,136.2175,58292.90296,1.67833482360138,1678334.82360138
"10","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,4,523.9212646,"Moss",18,212,261.9606323,215586.6841,1.67833482360138,1678334.82360138
"11","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,1,225.89,"Moss",18,212,112.945,40075.9561,1.67833482360138,1678334.82360138
"12","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,7,264.5184326,"Moss",18,212,132.2592163,54954.31042,1.67833482360138,1678334.82360138
"13","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,7,206.0257263,"Moss",18,212,103.0128632,33337.4816,1.67833482360138,1678334.82360138
"14","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,5,334.885,"Moss",18,212,167.4425,88080.80435,1.67833482360138,1678334.82360138
"15","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,3,244.05,"Moss",18,212,122.025,46778.63073,1.67833482360138,1678334.82360138
"16","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,8,716.655,"Moss",18,212,358.3275,403376.0899,1.67833482360138,1678334.82360138
"17","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,8,520.13,"Moss",18,212,260.065,212477.8625,1.67833482360138,1678334.82360138
"18","Carmarthenshire","A","31/07/2018",15.64323743,16.18955192,16.43343805,17.00046627,17.40938492,16.95384921,90.12616071,88.31525794,86.01054343,83.4535706,80.25438161,80.31335207,0.019,20,4,652.8480225,"Moss",18,212,326.4240113,334744.9757,1.67833482360138,1678334.82360138
"19","Carmarthenshire","A","28/08/2018",13.1313955,14.57263724,14.35726301,15.09581597,15.20530026,15.46039462,97.06720536,97.63418138,96.94254729,95.71634995,94.5983121,93.24931928,0.019,22,8,261.57,"Moss",18,240,130.785,53736.05083,0.202171279771228,202171.279771228
"20","Carmarthenshire","A","28/08/2018",13.1313955,14.57263724,14.35726301,15.09581597,15.20530026,15.46039462,97.06720536,97.63418138,96.94254729,95.71634995,94.5983121,93.24931928,0.019,22,7,200.92,"Moss",18,240,100.46,31705.61782,0.202171279771228,202171.279771228
"21","Carmarthenshire","A","28/08/2018",13.1313955,14.57263724,14.35726301,15.09581597,15.20530026,15.46039462,97.06720536,97.63418138,96.94254729,95.71634995,94.5983121,93.24931928,0.019,22,1,206.66,"Moss",18,240,103.33,33543.06405,0.202171279771228,202171.279771228
"22","Carmarthenshire","A","28/08/2018",13.1313955,14.57263724,14.35726301,15.09581597,15.20530026,15.46039462,97.06720536,97.63418138,96.94254729,95.71634995,94.5983121,93.24931928,0.019,22,4,238.9369583,"Moss",18,240,119.4684792,44839.06448,0.202171279771228,202171.279771228
"23","Carmarthenshire","A","28/08/2018",13.1313955,14.57263724,14.35726301,15.09581597,15.20530026,15.46039462,97.06720536,97.63418138,96.94254729,95.71634995,94.5983121,93.24931928,0.019,22,7,220.965,"Moss",18,240,110.4825,38347.48255,0.202171279771228,202171.279771228
"24","Carmarthenshire","A","11/09/2018",12.92239418,13.35318783,13.27925705,13.96291253,13.95563294,14.51493993,95.82795966,94.0308631,95.04297718,95.83252224,95.77787361,95.154521,0.019,23,5,219.645,"Moss",18,254,109.8225,37890.6909,0.0378906908951174,37890.6908951174
"25","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,8,351.145,"Moss",18,177,175.5725,96841.80132,3.03879549747631,3038795.49747631
"26","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,1,236.835,"Moss",18,177,118.4175,44053.62483,3.03879549747631,3038795.49747631
"27","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,8,289.83,"Moss",18,177,144.915,65974.56798,3.03879549747631,3038795.49747631
"28","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,3,418.48,"Moss",18,177,209.24,137543.2542,3.03879549747631,3038795.49747631
"29","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,8,258.815,"Moss",18,177,129.4075,52610.05637,3.03879549747631,3038795.49747631
"30","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,5,218.32,"Moss",18,177,109.16,37434.92149,3.03879549747631,3038795.49747631
"31","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,5,438.765,"Moss",18,177,219.3825,151200.7116,3.03879549747631,3038795.49747631
"32","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,7,369.875,"Moss",18,177,184.9375,107448.3715,3.03879549747631,3038795.49747631
"33","Carmarthenshire","B","26/06/2018",14.67617063,14.26119213,14.70972332,15.00915096,15.00767659,14.55494874,80.60820437,87.29003472,87.77722112,88.60178241,89.08071296,87.08087687,0.038,17,1,222.8,"Moss",18,177,111.4,38987.03917,3.03879549747631,3038795.49747631
